strategy,model,bench,dataset,task,calls_count_after_dedup,duration_s_total,prompt_tokens_total,completion_tokens_total,iteration,pass_or_fail
exverus,ds,vb,verusbench,verusbench_cloverbench_all_digits_strong,2,65.83705139160156,6646,1429,2,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_sum_strong,1,25.013188362121582,2788,527,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_cal_div,12,248.1545867919922,26110,5171,2,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_copy_strong,1,17.780277252197266,2226,350,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_two_sum,59,1836.2242815494537,984453,38554,,fail
exverus,ds,vb,verusbench,verusbench_cloverbench_linear_search2,1,21.730859756469727,2253,440,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_append_strong,1,22.803980112075806,2359,459,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_product_strong,1,20.47739052772522,2688,409,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_array_concat_strong,1,22.4935359954834,2871,471,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_binary_search,7,259.2329099178314,12853,5849,1,pass
exverus,ds,vb,verusbench,verusbench_cloverbench_is_prime,20,624.5496456623077,60351,13526,6,pass
exverus,ds,vb,verusbench,verusbench_diffy_s4lif,1,34.23859524726868,3598,756,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs1,35,947.6053895950317,293429,20429,5,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs3,23,644.4073672294617,134394,13771,7,pass
exverus,ds,vb,verusbench,verusbench_diffy_s1if,9,303.50191378593445,40667,6618,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s5lif,1,38.55328011512756,3728,879,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina4,10,329.68301343917847,68409,7484,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina5,24,919.4338891506195,277134,20819,4,pass
exverus,ds,vb,verusbench,verusbench_diffy_s5if,8,253.6693468093872,38373,5532,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_condg,1,31.391361236572266,3712,660,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs2,11,463.78602266311646,53631,10499,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina1,8,187.41540479660034,36602,3940,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s4if,10,289.3759288787842,44814,6221,3,pass
exverus,ds,vb,verusbench,verusbench_diffy_s52if,1,30.6684730052948,3676,686,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina2,1,30.768911123275757,3440,681,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_res1,37,1223.1051409244537,485180,27056,5,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs5,17,515.9015889167786,98645,11323,4,pass
exverus,ds,vb,verusbench,verusbench_diffy_brs4,80,2555.26691865921,373258,53067,10,pass
exverus,ds,vb,verusbench,verusbench_diffy_conda,9,356.3386957645416,42073,8056,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_res1o,9,317.98811054229736,45269,7014,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s42if,1,29.93232297897339,3696,658,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_sina3,31,1164.52072930336,687162,25106,7,pass
exverus,ds,vb,verusbench,verusbench_diffy_s2if,9,302.7586579322815,42836,6689,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s32if,1,31.054859399795532,3696,680,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms1,9,218.25059270858765,38952,4675,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_res2o,70,3222.2811007499695,498249,68152,,fail
exverus,ds,vb,verusbench,verusbench_diffy_s1lif,12,394.46531653404236,36865,8230,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms3,9,261.9349949359894,45467,5749,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms2,11,237.92738842964172,46564,5031,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s22if,1,29.11954140663147,3696,634,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s2lif,1,29.905045747756958,3638,653,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_condn,1,21.72164273262024,2646,468,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s12if,1,34.61961340904236,3696,770,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_s3if,9,268.26743960380554,41222,5829,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms5,9,222.32139778137207,43056,4749,2,pass
exverus,ds,vb,verusbench,verusbench_diffy_s3lif,1,27.97068500518799,3706,644,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_condm,1,22.723103523254395,2765,488,1,pass
exverus,ds,vb,verusbench,verusbench_diffy_ms4,8,213.21757078170776,38292,4562,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_113,1,15.95474123954773,2347,324,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_624,1,25.227417707443237,3053,546,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_70,2,41.3072452545166,4559,849,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_769,73,3706.47638297081,439662,77487,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_105,58,1918.470083475113,138512,41437,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_414,1,25.88939118385315,2807,570,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_576,10,324.7413990497589,33970,7281,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_472,10,319.21636056900024,24240,7033,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_240,1,25.567282676696777,2509,538,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_230,1,23.399542093276978,2527,496,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_161,46,1846.6835391521454,135977,41146,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_399,1,20.143224000930786,2413,413,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_804,1,17.839155912399292,2155,352,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_476,64,2531.2182519435883,286923,53204,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_461,66,3031.793949365616,161065,62448,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_798,80,2722.3226265907288,221494,55119,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_8,1,18.810937643051147,2347,393,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_741,2,48.373191833496094,4299,1047,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_572,71,2530.6290612220764,266507,52629,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_460,20,534.1318745613098,159527,11555,3,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_477,1,27.18151354789734,2995,602,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_644,36,1041.4509904384613,86303,23195,5,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_95,1,23.97965359687805,2399,510,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_62,1,16.859256267547607,2182,346,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_807,14,471.8936893939972,33238,10387,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_567,1,23.625144481658936,2199,489,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_412,80,2612.1897683143616,218456,52208,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_743,10,244.79553174972534,109781,5250,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_733,1,19.94810152053833,2598,424,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_732,1,24.548540115356445,2876,517,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_586,1,25.38331437110901,2548,551,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_755,12,436.5735139846802,39043,9912,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_251,1,22.35355019569397,2523,485,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_170,77,2585.097991466522,265169,52559,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_474,1,20.098893880844116,2525,410,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_94,59,2530.825674533844,579835,51995,9,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_618,1,24.353630542755127,2909,522,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_764,65,2998.5386769771576,164827,61221,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_557,1,27.891393184661865,3652,636,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_3,11,345.60151267051697,23155,7544,8,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_629,72,2354.7842893600464,205907,48612,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_578,1,28.00110960006714,3183,646,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_445,1,25.28888511657715,2799,566,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_610,9,211.42457485198975,20661,4586,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_2,12,409.0906677246094,38718,9253,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_579,66,3145.189171552658,271427,65122,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_261,2,53.20538282394409,6177,1183,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_142,67,2578.4139626026154,216275,52252,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_605,29,808.9506928920746,88070,17196,7,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_790,1,21.98163151741028,2103,447,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_436,70,2068.7471680641174,183883,41505,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_554,67,1989.6553943157196,147952,40060,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_69,10,344.51973962783813,34669,7753,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_18,52,2256.282964706421,273016,46597,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_282,1,27.440855503082275,2641,584,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_133,78,2346.625519514084,219982,45836,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_262,11,252.45108199119568,29251,5408,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_447,5,157.2637963294983,16732,3435,5,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_424,1,19.813132524490356,2671,418,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_809,1,23.650583744049072,2195,493,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_775,1,23.459499835968018,2105,510,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_454,1,23.21166229248047,2036,456,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_249,52,2170.281813621521,160105,43987,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_433,1,21.318655014038086,1923,452,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_290,12,508.8893074989319,35410,11517,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_588,76,3146.437336921692,262147,62450,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_616,1,22.959918975830078,3102,506,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_808,1,22.563706398010254,1946,458,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_457,44,1883.9266228675842,162327,37879,5,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_307,1,21.59386444091797,2114,451,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_145,23,634.7313687801361,60385,13940,6,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_431,15,414.9465661048889,101553,8483,7,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_760,2,39.07636475563049,4265,780,2,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_602,73,2885.949904680252,357262,57125,,fail
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_273,28,731.0482521057129,288862,14500,8,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_284,1,17.776655912399292,1949,379,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_728,1,21.818101167678833,2791,470,1,pass
exverus,ds,vb,verusbench,verusbench_mbpp_task_id_426,74,2153.362191438675,156100,39714,,fail
exverus,ds,vb,verusbench,verusbench_misc_conditional_average,1,41.65040040016174,4647,930,1,pass
exverus,ds,vb,verusbench,verusbench_misc_map,13,465.5756793022156,52879,9707,3,pass
exverus,ds,vb,verusbench,verusbench_misc_basic_nonlinear,11,221.09756064414978,30920,4592,1,pass
exverus,ds,vb,verusbench,verusbench_misc_len_intersect,2,115.75985050201416,5617,2645,1,pass
exverus,ds,vb,verusbench,verusbench_misc_sum,98,3100.5896587371826,254975,59603,,fail
exverus,ds,vb,verusbench,verusbench_misc_max_index,1,21.728657722473145,2164,461,1,pass
exverus,ds,vb,verusbench,verusbench_misc_filter,45,1529.5252485275269,170378,27788,,fail
exverus,ds,vb,verusbench,verusbench_misc_remove_all_greater,71,2897.112183570862,298383,56887,,fail
exverus,ds,vb,verusbench,verusbench_misc_simple_nested,28,925.4490542411804,271188,16825,,fail
exverus,ds,vb,verusbench,verusbench_misc_linearsearch,1,22.645909070968628,2478,389,1,pass
exverus,ds,vb,verusbench,verusbench_misc_cell_2_sum,13,623.719676733017,39711,11755,3,pass
exverus,ds,vb,verusbench,verusbench_misc_filter_weak,75,3000.373159646988,282453,59860,,fail
exverus,ds,vb,verusbench,verusbench_misc_fib,64,2140.5523796081543,327661,39622,,fail
exverus,ds,vb,verusbench,verusbench_misc_findmax,12,394.57480454444885,34178,7244,2,pass
exverus,ds,vb,verusbench,verusbench_misc_havoc_inline_post,1,24.232652187347412,2785,430,1,pass
exverus,ds,vb,verusbench,verusbench_misc_choose_odd,1,24.101327180862427,2118,430,1,pass
exverus,ds,vb,verusbench,verusbench_misc_trigger,4,158.86618161201477,6607,2850,2,pass
exverus,ds,vb,verusbench,verusbench_misc_tail_triangle,53,1532.8011682033539,190592,27412,6,pass
exverus,ds,vb,verusbench,AVERAGE,20.333333333333332,720.3351598017746,93766.44444444444,14767.444444444445,,fail
